rank,title_cn,title_en,rating,rating_count,director,actors,summary,detail_url,release_year,duration,genres,imdb_rating,poster_path
217,无耻混蛋,/ Inglourious Basterds,8.7,567227,昆汀·塔伦蒂诺 Quentin Tarantino,布拉德·皮特 Brad Pitt / ...,昆汀同学越来越变态了，比北野武还杜琪峰。,https://movie.douban.com/subject/1438652/,2009,153分钟,剧情/犯罪,,
218,东邪西毒,/ 東邪西毒,8.6,638206,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 林青霞 Brigitte...,,https://movie.douban.com/subject/1292328/,1994,98分钟,剧情/动作/爱情/武侠/古装,,
219,大红灯笼高高挂,/ Raise The Red Lantern  /  Épouses et concubines,8.8,376961,张艺谋 Yimou Zhang,巩俐 Li Gong / 马精武 Jingwu Ma / 何赛...,,https://movie.douban.com/subject/1293323/,1991,125 分钟,剧情,,
220,终结者2：审判日,/ Terminator 2: Judgment Day,8.8,388732,詹姆斯·卡梅隆 James Cameron,阿诺·施瓦辛格 Arnold Schwarz...,,https://movie.douban.com/subject/1291844/,1991,137分钟,动作/科幻,,
221,黑天鹅,/ Black Swan,8.6,850768,达伦·阿罗诺夫斯基 Darren Aronofsky,娜塔莉·波特曼 Natalie...,黑暗之美。,https://movie.douban.com/subject/1978709/,2010,108分钟,剧情/惊悚,,
222,新龙门客栈,/ 新龍門客棧,8.7,513499,李惠民 Raymond Lee,张曼玉 Maggie Cheung / 林青霞 Brigitte ...,,https://movie.douban.com/subject/1292287/,1992,103分钟,动作/爱情/武侠/古装,,
223,初恋这件小事,/ สิ่งเล็กเล็กที่เรียกว่า...รัก,8.5,1055777,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/,2010,118分钟(泰国),剧情/喜剧/爱情,,
224,千钧一发,/ Gattaca,8.8,354031,安德鲁·尼科尔 Andrew Niccol,伊桑·霍克 Ethan Hawke / 乌玛...,,https://movie.douban.com/subject/1300117/,1997,106分钟,剧情/科幻/惊悚,,
225,人工智能,/ A.I. Artificial Intelligence,8.7,505995,史蒂文·斯皮尔伯格 Steven Spielberg,海利·乔·奥斯蒙 Haley...,,https://movie.douban.com/subject/1302827/,2001,146分钟,剧情/科幻,,
226,崖上的波妞,/ 崖の上のポニョ,8.6,579315,宫崎骏 Hayao Miyazaki,奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,,https://movie.douban.com/subject/1959877/,2008,101分钟,动画/奇幻/冒险,,
