rank,title_cn,title_en,rating,rating_count,director,actors,summary,detail_url,release_year,duration,genres,imdb_rating,poster_path
54,黑客帝国,/ The Matrix,9.1,952107,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,,,https://movie.douban.com/subject/1291843/,1999,,,,
55,指环王1：护戒使者,/ The Lord of the Rings: The Fellowship of the Ring,9.1,961731,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,,https://movie.douban.com/subject/1291571/,2001,,,,
56,罗马假日,/ Roman Holiday,9.1,1049823,威廉·惠勒 William Wyler,奥黛丽·赫本 Audrey Hepburn / 格...,,https://movie.douban.com/subject/1293839/,1953,,,,
57,教父2,/ The Godfather: Part II,9.3,641385,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,,https://movie.douban.com/subject/1299131/,1974,,,,
58,狮子王,/ The Lion King,9.1,962580,Roger Allers / 罗伯·明可夫 Rob Minkoff,乔纳森·泰勒·托马...,,https://movie.douban.com/subject/1301753/,1994,,,,
59,天堂电影院,/ Nuovo Cinema Paradiso,9.2,742466,朱塞佩·托纳多雷 Giuseppe Tornatore,菲利普·努瓦雷 Philipp...,,https://movie.douban.com/subject/1291828/,1988,,,,
60,饮食男女,/ 飲食男女,9.2,727014,李安 Ang Lee,郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,,https://movie.douban.com/subject/1291818/,1994,,,,
61,辩护人,/ 변호인,9.2,658995,杨宇硕 Woo-seok Yang,宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/,2013,,,,
62,本杰明·巴顿奇事,/ The Curious Case of Benjamin Button,9.0,1106985,大卫·芬奇 David Fincher,布拉德·皮特 Brad Pitt / 凯特·布...,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/,2008,,,,
63,搏击俱乐部,/ Fight Club,9.0,977818,大卫·芬奇 David Fincher,爱德华·诺顿 Edward Norton / 布拉...,,https://movie.douban.com/subject/1292000/,1999,,,,
64,美丽心灵,/ A Beautiful Mind,9.1,854714,朗·霍华德 Ron Howard,罗素·克劳 Russell Crowe / 艾德·哈...,,https://movie.douban.com/subject/1306029/,2001,,,,
65,穿条纹睡衣的男孩,/ The Boy in the Striped Pajamas,9.2,643013,马克·赫尔曼 Mark Herman,阿萨·巴特菲尔德 Asa Butterfield ...,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/,2008,,,,
66,哈利·波特与死亡圣器(下),/ Harry Potter and the Deathly Hallows: Part 2,9.0,972797,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,10年的完美句点。,https://movie.douban.com/subject/3011235/,2011,,,,
67,情书,/ Love Letter,8.9,1328545,岩井俊二 Shunji Iwai,中山美穗 Miho Nakayama / 丰川悦司 Ets...,,https://movie.douban.com/subject/1292220/,1995,,,,
68,两杆大烟枪,"/ Lock, Stock and Two Smoking Barrels",9.1,679376,盖·里奇 Guy Ritchie,杰森·弗莱明 Jason Flemyng / 德克斯特...,,https://movie.douban.com/subject/1293350/,1998,,,,
69,窃听风暴,/ Das Leben der Anderen,9.2,633185,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,,别样人生。,https://movie.douban.com/subject/1900841/,2006,,,,
70,功夫,/ 功夫3D  /  Kung Fu Hustle,8.9,1339537,周星驰 Stephen Chow,周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://movie.douban.com/subject/1291543/,2004,,,,
71,音乐之声,/ The Sound of Music,9.1,685604,罗伯特·怀斯 Robert Wise,朱莉·安德鲁斯 Julie Andrews / 克...,,https://movie.douban.com/subject/1294408/,1965,,,,
72,哈利·波特与阿兹卡班的囚徒,/ Harry Potter and the Prisoner of Azkaban,9.0,893397,阿方索·卡隆 Alfonso Cuarón,丹尼尔·雷德克里夫 Daniel Rad...,不一样的导演，不一样的哈利·波特。,https://movie.douban.com/subject/1291544/,2004,,,,
73,阿凡达,/ Avatar,8.8,1588891,詹姆斯·卡梅隆 James Cameron,萨姆·沃辛顿 Sam Worthington ...,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/,2009,,,,
74,西西里的美丽传说,/ Malèna,8.9,1095310,朱塞佩·托纳多雷 Giuseppe Tornatore,莫妮卡·贝鲁奇 Monica ...,,https://movie.douban.com/subject/1292402/,2000,,,,
75,看不见的客人,/ Contratiempo,8.8,1443933,奥里奥尔·保罗 Oriol Paulo,马里奥·卡萨斯 Mario Casas / 阿...,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/,2016,,,,
76,拯救大兵瑞恩,/ Saving Private Ryan,9.1,726596,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,,https://movie.douban.com/subject/1292849/,1998,,,,
77,沉默的羔羊,/ The Silence of the Lambs,8.9,1018605,乔纳森·戴米 Jonathan Demme,朱迪·福斯特 Jodie Foster / 安...,,https://movie.douban.com/subject/1293544/,1991,,,,
78,小鞋子,/ بچه های آسمان,9.2,467592,马基德·马基迪 Majid Majidi,默罕默德·阿米尔·纳吉 Mohamma...,,https://movie.douban.com/subject/1303021/,1997,,,,
79,布达佩斯大饭店,/ The Grand Budapest Hotel,8.9,1088108,韦斯·安德森 Wes Anderson,拉尔夫·费因斯 Ralph Fiennes / ...,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/,2014,,,,
80,蝴蝶效应,/ The Butterfly Effect,8.9,1070769,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/,2004,,,,
81,飞越疯人院,/ One Flew Over the Cuckoo's Nest,9.1,605542,米洛斯·福尔曼 Miloš Forman,杰克·尼科尔森 Jack Nichols...,,https://movie.douban.com/subject/1292224/,1975,,,,
82,还有明天,/ C'è ancora domani,9.3,375005,宝拉·柯特莱西 Paola Cortellesi,宝拉·柯特莱西 Paola Corte...,,https://movie.douban.com/subject/36445098/,2023,,,,
83,禁闭岛,/ Shutter Island,8.9,1116763,Martin Scorsese,莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/,2010,,,,
84,心灵捕手,/ Good Will Hunting,9.0,817265,格斯·范·桑特 Gus Van Sant,马特·达蒙 Matt Damon / 罗宾·...,,https://movie.douban.com/subject/1292656/,1997,,,,
85,致命魔术,/ The Prestige,8.9,966439,克里斯托弗·诺兰 Christopher Nolan,休·杰克曼 Hugh Jackman...,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/,2006,,,,
86,低俗小说,/ Pulp Fiction,8.9,962319,昆汀·塔伦蒂诺 Quentin Tarantino,约翰·特拉沃尔塔 John Tra...,,https://movie.douban.com/subject/1291832/,1994,,,,
87,哈利·波特与密室,/ Harry Potter and the Chamber of Secrets,8.9,919859,Chris Columbus,丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,,https://movie.douban.com/subject/1296996/,2002,,,,
88,超脱,/ Detachment,9.0,725630,托尼·凯耶 Tony Kaye,艾德里安·布洛迪 Adrien Brody / 马西...,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/,2011,,,,
89,一一,/ Yi yi  /  Yi yi: A One and a Two,9.1,513415,杨德昌 Edward Yang,吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,,https://movie.douban.com/subject/1292434/,2000,,,,
90,喜剧之王,/ 喜劇之王,8.8,1098739,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,周星驰 Stephen Ch...,,https://movie.douban.com/subject/1302425/,1999,,,,
91,杀人回忆,/ 살인의 추억,8.9,840366,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,,https://movie.douban.com/subject/1300299/,2003,,,,
92,致命ID,/ Identity,8.9,952882,詹姆斯·曼高德 James Mangold,约翰·库萨克 John Cusack / 雷...,,https://movie.douban.com/subject/1297192/,2003,,,,
93,摩登时代,/ Modern Times,9.3,348286,查理·卓别林 Charles Chaplin,查理·卓别林 Charles Chaplin ...,,https://movie.douban.com/subject/1294371/,1936,,,,
94,春光乍泄,/ 春光乍洩,9.0,711442,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,,https://movie.douban.com/subject/1292679/,1997,,,,
95,加勒比海盗,/ Pirates of the Caribbean: The Curse of the Black Pearl,8.8,971842,戈尔·维宾斯基 Gore Verbinski,约翰尼·德普 Johnny Depp / ...,,https://movie.douban.com/subject/1298070/,2003,,,,
96,海豚湾,/ The Cove,9.3,383112,路易·西霍尤斯 Louie Psihoyos,路易·西霍尤斯 Louie Psihoyo...,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/,2009,,,,
97,美国往事,/ Once Upon a Time in America,9.1,473539,赛尔乔·莱翁内 Sergio Leone,罗伯特·德尼罗 Robert De Niro ...,,https://movie.douban.com/subject/1292262/,1984,,,,
98,红辣椒,/ パプリカ,9.0,572881,今敏 Satoshi Kon,林原惠美 Megumi Hayashibara / 江守彻 Toru...,梦的勾结。,https://movie.douban.com/subject/1865703/,2006,,,,
99,七宗罪,/ Se7en,8.8,1065729,大卫·芬奇 David Fincher,摩根·弗里曼 Morgan Freeman / 布...,,https://movie.douban.com/subject/1292223/,1995,,,,
100,唐伯虎点秋香,/ 唐伯虎點秋香,8.8,1228525,李力持 Lik-Chi Lee,周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,,https://movie.douban.com/subject/1306249/,1993,,,,
101,狩猎,/ Jagten,9.1,472826,托马斯·温特伯格 Thomas Vinterberg,麦斯·米科尔森 Mads Mik...,人言可畏。,https://movie.douban.com/subject/6985810/,2012,,,,
102,幽灵公主,/ もののけ姫,8.9,672307,宫崎骏 Hayao Miyazaki,松田洋治 Yôji Matsuda / 石田百合...,,https://movie.douban.com/subject/1297359/,1997,,,,
103,甜蜜蜜,/ Comrades: Almost a Love Story,8.9,676852,陈可辛 Peter Chan,黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,,https://movie.douban.com/subject/1305164/,1996,,,,
104,寄生虫,/ 기생충,8.8,1553199,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 李善均 Seon-gyun...,,https://movie.douban.com/subject/27010768/,2019,,,,
105,天书奇谭,/ 天书奇谭4K纪念版  /  The Legend of Sealed Book,9.2,337280,王树忱 Shuchen Wang / 钱运达 Yunda Qian,丁建华 Jianhua Din...,,https://movie.douban.com/subject/1428581/,1983,,,,
106,蝙蝠侠：黑暗骑士崛起,/ The Dark Knight Rises,8.9,817103,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,诺兰就是保证。,https://movie.douban.com/subject/3395373/,2012,,,,
107,超能陆战队,/ Big Hero 6,8.8,1149644,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,斯科特...,Balalala~~~,https://movie.douban.com/subject/11026735/,2014,,,,
108,7号房的礼物,/ 7번방의 선물,8.9,624268,李焕庆 Hwan-kyeong Lee,柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/,2013,,,,
109,茶馆,/ The Teahouse,9.5,211070,谢添 Tian Xie,于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,,https://movie.douban.com/subject/1461403/,1982,,,,
110,第六感,/ The Sixth Sense,8.9,641514,M·奈特·沙马兰 M. Night Shyamalan,布鲁斯·威利斯 Bruce Wi...,,https://movie.douban.com/subject/1297630/,1999,,,,
111,爱在黎明破晓前,/ Before Sunrise,8.8,805602,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,,https://movie.douban.com/subject/1296339/,1995,,,,
112,爱在日落黄昏时,/ Before Sunset,8.9,657567,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/,2004,,,,
113,被嫌弃的松子的一生,/ 嫌われ松子の一生,8.8,777468,中岛哲也 Tetsuya Nakashima,中谷美纪 Miki Nakatani / 瑛太 E...,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/,2006,,,,
114,头脑特工队,/ Inside Out,8.8,811103,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/,2015,,,,
115,哈利·波特与火焰杯,/ Harry Potter and the Goblet of Fire,8.8,805859,迈克·内威尔 Mike Newell,丹尼尔·雷德克里夫 Daniel Radclif...,,https://movie.douban.com/subject/1309055/,2005,,,,
116,未麻的部屋,/ Perfect Blue,9.1,428027,今敏 Satoshi Kon,岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,,https://movie.douban.com/subject/1395091/,1997,,,,
117,重庆森林,/ 重慶森林,8.8,926535,王家卫 Kar Wai Wong,林青霞 Brigitte Lin / 金城武 Takeshi K...,,https://movie.douban.com/subject/1291999/,1994,,,,
118,借东西的小人阿莉埃蒂,/ 借りぐらしのアリエッティ,8.9,630466,米林宏昌 Hiromasa Yonebayashi,志田未来 Mirai Shida / 神木...,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/,2010,,,,
119,菊次郎的夏天,/ 菊次郎の夏,8.9,676267,北野武 Takeshi Kitano,北野武 Takeshi Kitano / 关口雄介 Yus...,,https://movie.douban.com/subject/1293359/,1999,,,,
120,入殓师,/ おくりびと,8.9,745217,泷田洋二郎 Yôjirô Takita,本木雅弘 Masahiro Motoki / ...,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/,2008,,,,
121,断背山,/ Brokeback Mountain,8.8,785847,李安 Ang Lee,希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/,2005,,,,
122,剪刀手爱德华,/ Edward Scissorhands,8.7,1123948,蒂姆·波顿 Tim Burton,约翰尼·德普 Johnny Depp / 薇诺娜·...,,https://movie.douban.com/subject/1292370/,1990,,,,
123,勇敢的心,/ Braveheart,8.9,607409,梅尔·吉布森 Mel Gibson,梅尔·吉布森 Mel Gibson / 苏菲·玛...,,https://movie.douban.com/subject/1294639/,1995,,,,
124,时空恋旅人,/ About Time,8.8,797681,理查德·柯蒂斯 Richard Curtis,多姆纳尔·格里森 Domhnall Gl...,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/,2013,,,,
125,驯龙高手,/ How to Train Your Dragon,8.8,869934,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/,2010,,,,
126,傲慢与偏见,/ Pride & Prejudice,8.7,943195,乔·怀特 Joe Wright,凯拉·奈特莉 Keira Knightley / 马修·...,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/,2005,,,,
127,消失的爱人,/ Gone Girl,8.7,1077902,大卫·芬奇 David Fincher,本·阿弗莱克 Ben Affleck / 罗莎蒙...,年度最佳date movie。,https://movie.douban.com/subject/21318488/,2014,,,,
128,无人知晓,/ 誰も知らない,9.1,374547,是枝裕和 Hirokazu Koreeda,柳乐优弥 Yûya Yagira / 北浦爱...,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/,2004,,,,
129,倩女幽魂,/ 倩女幽魂(87版)  /  倩女幽魂：妖魔道,8.8,838936,程小东 Siu-Tung Ching,张国荣 Leslie Cheung / 王祖贤 Joey W...,,https://movie.douban.com/subject/1297447/,1987,,,,
130,新世界,/ 신세계,8.9,531177,朴勋政 Hoon-jung Park,李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,要做就做得狠一点，这样才能活下去。,https://movie.douban.com/subject/10437779/,2013,,,,
131,花样年华,/ 花樣年華,8.8,810103,王家卫 Kar Wai Wong,张曼玉 Maggie Cheung / 梁朝伟 Tony Leu...,,https://movie.douban.com/subject/1291557/,2000,,,,
132,玩具总动员3,/ Toy Story 3,8.9,595921,李·昂克里奇 Lee Unkrich,汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/,2010,,,,
133,一个叫欧维的男人决定去死,/ En man som heter Ove,8.9,572671,汉内斯·赫尔姆 Hannes Holm,罗夫·拉斯加德 Rolf Lassgård...,惠及一生的美丽。,https://movie.douban.com/subject/26628357/,2015,,,,
134,色，戒,/ 色|戒  /  色·戒,8.7,966944,李安 Ang Lee,梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,假戏真情，爱欲深海,https://movie.douban.com/subject/1828115/,2007,,,,
135,完美的世界,/ A Perfect World,9.1,361769,克林特·伊斯特伍德 Clint Eastwood,凯文·科斯特纳 Kevin Cos...,,https://movie.douban.com/subject/1300992/,1993,,,,
136,怪兽电力公司,"/ Monsters, Inc.",8.8,774128,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,约...,,https://movie.douban.com/subject/1291579/,2001,,,,
137,阳光灿烂的日子,/ In the Heat of the Sun,8.8,698666,姜文 Wen Jiang,夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,,https://movie.douban.com/subject/1291875/,1994,,,,
138,教父3,/ The Godfather: Part III,9.0,434992,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,,https://movie.douban.com/subject/1294240/,1990,,,,
139,小森林 夏秋篇,/ リトル・フォレスト 夏・秋,9.0,475668,森淳一 Junichi Mori,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/,2014,,,,
140,天使爱美丽,/ Le Fabuleux destin d'Amélie Poulain,8.7,1023789,让-皮埃尔·热内 Jean-Pierre Jeunet,奥黛丽·塔图 Audrey Tau...,,https://movie.douban.com/subject/1292215/,2001,,,,
141,侧耳倾听,/ 耳をすませば,8.9,522914,近藤喜文 Yoshifumi Kondo,本名阳子 Youko Honna / 小林桂树 K...,,https://movie.douban.com/subject/1297052/,1995,,,,
142,哪吒闹海,/ Prince Nezha's Triumph Against Dragon King  /  Nezha Conquers the Dragon King,9.2,310113,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,梁正晖 Zhenghui ...,,https://movie.douban.com/subject/1307315/,1979,,,,
143,九品芝麻官,/ 九品芝麻官之白面包青天  /  Hail the Judge,8.8,798745,王晶 Jing Wong,周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,,https://movie.douban.com/subject/1297518/,1994,,,,
144,被解救的姜戈,/ Django Unchained,8.8,696300,昆汀·塔伦蒂诺 Quentin Tarantino,杰米·福克斯 Jamie Foxx /...,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/,2012,,,,
145,请以你的名字呼唤我,/ Call Me by Your Name,8.8,828911,卢卡·瓜达尼诺 Luca Guadagnino,艾米·汉莫 Armie Hammer / ...,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/,2017,,,,
146,幸福终点站,/ The Terminal,8.8,645399,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,有时候幸福需要等一等。,https://movie.douban.com/subject/1292274/,2004,,,,
147,釜山行,/ 부산행,8.6,1356506,延尚昊 Sang-ho Yeon,孔刘 Yoo Gong / 郑有美 Yu-mi Jung / 马...,揭露人性的丧尸题材力作。,https://movie.douban.com/subject/25986180/,2016,,,,
148,神偷奶爸,/ Despicable Me,8.7,1051245,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,...,Mr. I Don't Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/,2010,,,,
149,小森林 冬春篇,/ リトル・フォレスト 冬・春,9.0,422591,森淳一 Junichi Mori,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/,2015,,,,
150,喜宴,/ 囍宴,9.0,434760,李安 Ang Lee,赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎...,,https://movie.douban.com/subject/1303037/,1993,,,,
151,萤火之森,/ 蛍火の杜へ,8.8,614620,大森贵弘 Takahiro Omori,佐仓绫音 Ayane Sakura / 内山昂辉 K...,触不到的恋人。,https://movie.douban.com/subject/5989818/,2011,,,,
152,告白,/ 自白  /  母亲,8.8,747080,中岛哲也 Tetsuya Nakashima,松隆子 Takako Matsu / 冈田将生 ...,没有一人完全善，也没有一人完全恶。,https://movie.douban.com/subject/4268598/,2010,,,,
153,七武士,/ 七人の侍,9.3,237405,黑泽明 Akira Kurosawa,三船敏郎 Toshirô Mifune / 志村乔 ...,,https://movie.douban.com/subject/1295399/,1954,,,,
154,玛丽和麦克斯,/ Mary and Max,9.0,472978,亚当·艾略特 Adam Elliot,托妮·科莱特 Toni Collette / 菲利...,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/,2009,,,,
155,头号玩家,/ Ready Player One,8.6,1523530,史蒂文·斯皮尔伯格 Steven Spielberg,泰伊·谢里丹 Tye Sheri...,写给影迷，动漫迷和游戏迷的一封情书。,https://movie.douban.com/subject/4920389/,2018,,,,
156,模仿游戏,/ The Imitation Game,8.8,723181,莫滕·泰杜姆 Morten Tyldum,本尼迪克特·康伯巴奇 Benedict C...,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://movie.douban.com/subject/10463953/,2014,,,,
157,惊魂记,/ Psycho,9.0,359013,阿尔弗雷德·希区柯克 Alfred Hitchcock,安东尼·博金斯 Antho...,,https://movie.douban.com/subject/1293181/,1960,,,,
158,机器人之梦,/ Robot Dreams,9.1,445661,巴勃罗·贝格尔 Pablo Berger,伊万·拉班达 Ivan Labanda,,https://movie.douban.com/subject/35426925/,2023,,,,
159,大鱼,/ Big Fish,8.8,629632,蒂姆·波顿 Tim Burton,伊万·麦克格雷格 Ewan McGregor / 阿...,,https://movie.douban.com/subject/1291545/,2003,,,,
160,心灵奇旅,/ Soul,8.7,1149587,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,杰米·...,,https://movie.douban.com/subject/24733428/,2020,,,,
161,背靠背，脸对脸,"/ 背对背，脸对脸  /  Back to Back, Face to Face",9.5,181745,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,牛振华 Zhenhua N...,,https://movie.douban.com/subject/1307856/,1994,,,,
162,血战钢锯岭,/ Hacksaw Ridge,8.7,863129,梅尔·吉布森 Mel Gibson,安德鲁·加菲尔德 Andrew Garfield /...,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://movie.douban.com/subject/26325320/,2016,,,,
163,射雕英雄传之东成西就,/ 射鵰英雄傳之東成西就,8.7,720958,刘镇伟 Jeffrey Lau,梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,,https://movie.douban.com/subject/1316510/,1993,,,,
164,你的名字。,/ 君の名は。,8.5,1600828,新海诚 Makoto Shinkai,神木隆之介 Ryûnosuke Kamiki / 上...,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://movie.douban.com/subject/26683290/,2016,,,,
165,我是山姆,/ I Am Sam,9.0,378685,杰茜·尼尔森 Jessie Nelson,Sean Penn / Dakota Fanning / Mi...,,https://movie.douban.com/subject/1306861/,2001,,,,
166,阳光姐妹淘,/ 써니,8.8,641193,姜炯哲 Hyeong-Cheol Kang,沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,再多各自牛逼的时光，也比不上一起傻逼的岁月。,https://movie.douban.com/subject/4917726/,2011,,,,
167,末路狂花,/ Thelma & Louise,9.0,353193,雷德利·斯科特 Ridley Scott,吉娜·戴维斯 Geena Davis / 苏...,,https://movie.douban.com/subject/1291992/,1991,,,,
168,恐怖直播,/ 더 테러 라이브,8.7,731711,金秉祐 Byeong-woo Kim,河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,恐怖分子的“秋菊打官司”。,https://movie.douban.com/subject/21360417/,2013,,,,
169,黑客帝国3：矩阵革命,/ The Matrix Revolutions,8.8,499833,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,,,https://movie.douban.com/subject/1302467/,2003,,,,
170,高山下的花环,/ 卫国军魂(港)  /  Wreaths at the Foot of the Mountain,9.5,161676,谢晋 Jin Xie,吕晓禾 Xiaohe Lü / 唐国强 Guoqiang Tang / 何...,,https://movie.douban.com/subject/1422283/,1984,,,,
171,小丑,/ Joker,8.7,1129625,托德·菲利普斯 Todd Phillips,杰昆·菲尼克斯 Joaquin Phoeni...,,https://movie.douban.com/subject/27119724/,2019,,,,
172,谍影重重3,/ The Bourne Ultimatum,8.9,473674,保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ...,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/,2007,,,,
173,三块广告牌,"/ Three Billboards Outside Ebbing, Missouri",8.7,924414,马丁·麦克唐纳 Martin McDonagh,弗兰西斯·麦克多蒙德 France...,怼天怼地，你走后，她与世界为敌。,https://movie.douban.com/subject/26611804/,2017,,,,
174,电锯惊魂,/ Saw,8.7,616768,詹姆斯·温 James Wan,雷·沃纳尔 Leigh Whannell / 加利·艾...,真相就在眼前。,https://movie.douban.com/subject/1417598/,2004,,,,
175,无间道2,/ 無間道II,8.8,571457,刘伟强 Andrew Lau / 麦兆辉 Alan Mak,陈冠希 Edison Chen / ...,,https://movie.douban.com/subject/1307106/,2003,,,,
176,达拉斯买家俱乐部,/ Dallas Buyers Club,8.8,508929,让-马克·瓦雷 Jean-Marc Vallée,马修·麦康纳 Matthew McCon...,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/,2013,,,,
177,疯狂原始人,/ The Croods,8.7,925445,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/,2013,,,,
178,绿里奇迹,/ The Green Mile,8.9,390862,弗兰克·德拉邦特 Frank Darabont,汤姆·汉克斯 Tom Hanks / ...,,https://movie.douban.com/subject/1300374/,1999,,,,
179,爱在午夜降临前,/ Before Midnight,8.9,477650,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/,2013,,,,
180,疯狂的石头,/ Crazy Stone,8.6,930787,宁浩 Hao Ning,郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/,2006,,,,
181,雨中曲,/ Singin' in the Rain,9.1,270907,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,吉恩·...,,https://movie.douban.com/subject/1293460/,1952,,,,
182,2001太空漫游,/ 2001: A Space Odyssey,8.9,399922,斯坦利·库布里克 Stanley Kubrick,凯尔·杜拉 Keir Dullea / ...,,https://movie.douban.com/subject/1292226/,1968,,,,
